BiGG ID	Lower bound	Upper bound	Delta G [kcal/mol]
PYRDC	0	1000	-4.29
METSOXR1	0	1000	
LEUt2r	0	1000	
ORNDC	0	1000	-4.95
NTD11	0	1000	-1.29
GMPS2	0	1000	-23.14
SERt2r	0	1000	
ACGK	0	1000	-5.6
EX_gua_e	0	0	
r_lacd2	0	1000	
PRO1x	0	1000	-4.72
NADPt	0	1000	
AROH	0	1000	
ACP1_FMN	0	1000	-4.04
EX_h2_e	0	1000	
PAPSR	0	1000	
ARB_Dabc	0	1000	-6.16
EX_glyc_e	0	0	
NDP1	0	1000	-5.74
NADS1	0	1000	-3.69
TYRL	0	1000	
EX_ocdca_e	0	0	
ACYP_2	0	1000	-9.57
GLYALDDr	0	1000	-12.08
ACLS	0	1000	-8.27
ILEt2r	0	1000	
METt2r	0	1000	
Kt1	0	1000	
FACOAL180	0	1000	-2.62
MEhy	0	1000	
GALt1r	0	1000	
GLYK	0	1000	-3.58
MI3PP	0	1000	-5.17
GLBRAN2	0	1000	
GLCP	0	1000	-228.78
SBPP2	0	1000	
AGPAT180	0	1000	
EX_sbt__D_e	0	0	
FBP26	0	1000	-7.26
VALt2r	0	1000	
ACCOAC	0	1000	-0.95
THRt2r	0	1000	
SPMS	0	1000	-10.46
HMPK1	0	1000	-2.13
ALCD2y	-1000	0	5.03
THRD_L	0	1000	-5.92
G3PAT140_c	0	1000	
ETHAt	0	1000	
EX_sucr_e	0	0	
NADDP	0	1000	-8.79
ASNN	0	1000	-4.01
EX_arg__L_e	0	0	
DTTPt	0	1000	
IDPA	0	1000	
NTP9	0	1000	-6.75
PAPA160	0	1000	
ACOAH	-1000	0	7.3
PMI1346PH	0	1000	
PAPA180	0	1000	
GPDDA1	0	1000	-14.34
FACOAL160	0	1000	-2.63
SBPP1	0	1000	-4.06
IG3PS	0	1000	-25.53
FADDP	0	1000	
EX_lac__L_e	0	0	
PPNDH	0	1000	-20.31
OMCDC	0	1000	-4.05
ALLTN	0	1000	-13.28
ERGSTGLCT	0	1000	
HYDhbi	0	0	
EX_cellb_e	0	0	
OPMEACPD	0	1000	
PSD180	0	1000	
CA2t	0	1000	
EX_for_e	0	1000	
OMPDC	0	1000	-6.26
DAGK180	0	1000	
EX_pyr_e	0	0	
CYSTRS	0	1000	
DCYTt2	0	1000	
SLCBK2	0	1000	
NNDPR	0	1000	-5.34
EAR80y	0	1000	
ADNK1	0	1000	-2.79
3HAD120	0	1000	
FUMt2r	0	1000	
DHPS2	0	1000	-13.94
ILETRS	0	1000	
3HAD180	0	1000	
SUCR	0	1000	-5.72
r_xylanase	0	1000	
CS	0	1000	-8.6
CERS224	0	1000	
NGAM	2.27	2.27	
DAGK160	0	1000	
ARGTRS	0	1000	
HYDhfe	0	1000	
3HAD60	0	1000	
OGMEACPS	0	1000	
PPCDC	0	1000	-5.06
FORt2	-1000	0	
PRAIi	0	1000	-2.28
EX_malt_e	0	0	
PROTRS	0	1000	
METAT	0	1000	-12.61
4ABZt2r	0	1000	
GLUDC	0	1000	-5.69
MEVK4	0	1000	-2.61
ADCS	0	1000	-3.79
ASNt4	0	1000	
PPGPPDP	0	1000	-5.6
PGPP140	0	1000	
23CN2P2	0	1000	-7.83
PYDXPP	0	1000	-2.71
EX_duri_e	0	0	
EX_amet_e	0	0	
GLYTRS	0	1000	
TYRTRS	0	1000	
UDPGD	0	1000	-4.28
ME1	0	1000	-3.13
NTP7	0	1000	-5.48
G3PD1ir	0	1000	-6.14
AGPAT160	0	1000	
EAR160y	0	1000	
NDP8	0	1000	
ACPCS	0	1000	
NMNAT	0	1000	-0.36
FACOAL200	0	1000	
PFK	0	1000	-4.64
ATPPRT	0	1000	-17.21
HISTRS	0	1000	
EAR120y	0	1000	
MI4PP	0	1000	-5.17
FRDx	0	1000	
3HAD80	0	1000	
EX_ser__L_e	0	0	
GUAC	0	1000	
GLNt2r	0	1000	
EX_inost_e	0	0	
RNDR4	0	1000	
DHPPDA2	0	1000	-8.88
EX_xyl__D_e	0	0	
GLNS	0	1000	-3.34
XYLt2	0	1000	
3HAD140	0	1000	
HYDh2	-1000	0	
AKGt2r	0	1000	
CDPPH	0	1000	
GLYCK	0	1000	-2.69
EX_nmn_e	0	0	
GLNabc	0	1000	-6.16
PMEACPE	0	1000	
3OAS180	0	1000	
EX_gsn_e	0	0	
OPMEACPR	0	1000	
DRPA	0	1000	-0.15
MEhx	0	1000	
PPND	0	1000	-3.01
OGMEACPR	0	1000	
NTPP4	0	1000	-8.0
RNMK	0	1000	-7.68
PRAMPC	0	1000	-4.04
EX_dextrin_e	0	0	
GLYt4	0	1000	
PANTS	0	1000	-8.51
EX_pro__L_e	0	0	
G3PAT160	0	1000	
R_SINK_amob_c	0	1000	
SO4ti	0	1000	
TRPS3	0	1000	
PPNCL2	0	1000	-10.93
MCSNAH	0	1000	
GMPR	0	1000	-10.46
PMI1346PS	0	1000	
