Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P0A836	SUCC_ECOLI	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC b0728 JW0717	Escherichia coli (strain K12)	388
P53597	SUCA_HUMAN	reviewed	Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial (EC 6.2.1.4) (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	SUCLG1	Homo sapiens (Human)	346
P13086	SUCA_RAT	reviewed	Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial (EC 6.2.1.4) (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	Suclg1	Rattus norvegicus (Rat)	346
P0AGE9	SUCD_ECOLI	reviewed	Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	sucD b0729 JW0718	Escherichia coli (strain K12)	289
O19069	SUCA_PIG	reviewed	Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial (EC 6.2.1.4) (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	SUCLG1	Sus scrofa (Pig)	346
Q9P2R7	SUCB1_HUMAN	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial (EC 6.2.1.5) (ATP-specific succinyl-CoA synthetase subunit beta) (A-SCS) (Succinyl-CoA synthetase beta-A chain) (SCS-betaA)	SUCLA2	Homo sapiens (Human)	463
P36967	SUCA_DICDI	reviewed	Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial (EC 6.2.1.4) (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha) (p36)	scsA DDB_G0289325	Dictyostelium discoideum (Slime mold)	315
Q94522	SUCA_DROME	reviewed	Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial (EC 6.2.1.4) (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha) (Succinyl-coenzyme A synthetase alpha subunit 1)	Scsalpha1 Scsalpha CG1065	Drosophila melanogaster (Fruit fly)	328
P68209	SUCA1_ARATH	reviewed	Succinate--CoA ligase [ADP-forming] subunit alpha-1, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha-1) (SCS-alpha-1)	At5g08300 F8L15_30	Arabidopsis thaliana (Mouse-ear cress)	347
P53598	SUCA_YEAST	reviewed	Succinate--CoA ligase [ADP-forming] subunit alpha, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	LSC1 YOR142W YOR3352W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	329
