Entry	Entry name	Protein names	Organism	Length	EC number	Gene names	Pathway	Cofactor	Subunit structure [CC]
Q8BK30	NDUV3_MOUSE	NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial (Complex I-9kD) (CI-9kD) (NADH-ubiquinone oxidoreductase 9 kDa subunit)	Mus musculus (Mouse)	104		Ndufv3			SUBUNIT: Complex I is composed of 45 different subunits. This is a component of the flavoprotein-sulfur (FP) fragment of the enzyme. {ECO:0000250|UniProtKB:P56181}.
Q2LCP5	NDUS1_DICCI	NADH-ubiquinone oxidoreductase 75 kDa subunit (EC 1.6.99.3) (EC 7.1.1.2) (Complex I-75kD) (CI-75kD)	Dictyostelium citrinum (Slime mold)	688	1.6.99.3; 7.1.1.2	nad11 ndufs1		COFACTOR: Name=[2Fe-2S] cluster; Xref=ChEBI:CHEBI:49601; Evidence={ECO:0000250};  Note=Binds 1 [2Fe-2S] cluster per subunit. {ECO:0000250}; COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000250};  Note=Binds 2 [4Fe-4S] clusters per subunit. {ECO:0000250};	SUBUNIT: Complex I is composed of about 45 different subunits. {ECO:0000250}.
Q91WD5	NDUS2_MOUSE	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (Complex I-49kD) (CI-49kD) (NADH-ubiquinone oxidoreductase 49 kDa subunit)	Mus musculus (Mouse)	463	1.6.99.3; 7.1.1.2	Ndufs2		COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883;  Note=Binds 1 [4Fe-4S] cluster.;	SUBUNIT: Complex I is composed of 45 different subunits. Component of the iron-sulfur (IP) fragment of the enzyme. Interacts with NDUFAF3. Interacts with NDUFAF7. {ECO:0000250|UniProtKB:O75306}.
Q0MQH0	NDUS4_GORGO	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial (Complex I-18 kDa) (CI-18 kDa) (NADH-ubiquinone oxidoreductase 18 kDa subunit)	Gorilla gorilla gorilla (Western lowland gorilla)	175		NDUFS4			SUBUNIT: Mammalian complex I is composed of 45 different subunits. This is a component of the iron-sulfur (IP) fragment of the enzyme. {ECO:0000250|UniProtKB:O43181}.
O00217	NDUS8_HUMAN	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (Complex I-23kD) (CI-23kD) (NADH-ubiquinone oxidoreductase 23 kDa subunit) (TYKY subunit)	Homo sapiens (Human)	210	1.6.99.3; 7.1.1.2	NDUFS8		COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000250};  Note=Binds 2 [4Fe-4S] clusters per subunit. {ECO:0000250};	SUBUNIT: Mammalian complex I is composed of 45 different subunits. {ECO:0000269|PubMed:12611891}.
Q60HE3	NDUS8_MACFA	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (Complex I-23kD) (CI-23kD) (NADH-ubiquinone oxidoreductase 23 kDa subunit)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	210	1.6.99.3; 7.1.1.2	NDUFS8 QorA-12386		COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000250};  Note=Binds 2 [4Fe-4S] clusters per subunit. {ECO:0000250};	SUBUNIT: Complex I is composed of 45 different subunits This is a component of the iron-sulfur (IP) fragment of the enzyme. {ECO:0000250}.
Q23883	NDUS2_DICDI	NADH-ubiquinone oxidoreductase 49 kDa subunit (EC 1.6.99.3) (EC 7.1.1.2) (NADH dehydrogenase subunit 7)	Dictyostelium discoideum (Slime mold)	406	1.6.99.3; 7.1.1.2	nad7 ndufs2 DDB_G0294030			SUBUNIT: Complex I is composed of 45 different subunits. Component of the iron-sulfur (IP) fragment of the enzyme. {ECO:0000250|UniProtKB:O75306}.
Q0MQH3	NDUS5_GORGO	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 (Complex I-15 kDa) (CI-15 kDa) (NADH-ubiquinone oxidoreductase 15 kDa subunit)	Gorilla gorilla gorilla (Western lowland gorilla)	106		NDUFS5			SUBUNIT: Mammalian complex I is composed of 45 different subunits. This is a component of the iron-sulfur (IP) fragment of the enzyme. {ECO:0000250|UniProtKB:O43920}.
O75380	NDUS6_HUMAN	NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial (Complex I-13kD-A) (CI-13kD-A) (NADH-ubiquinone oxidoreductase 13 kDa-A subunit)	Homo sapiens (Human)	124		NDUFS6			SUBUNIT: Mammalian complex I is composed of 45 different subunits (PubMed:12611891, PubMed:27626371). This is a component of the iron-sulfur (IP) fragment of the enzyme (PubMed:12611891). {ECO:0000269|PubMed:12611891, ECO:0000269|PubMed:27626371}.
Q0MQI9	NDUV2_PANTR	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (NADH-ubiquinone oxidoreductase 24 kDa subunit)	Pan troglodytes (Chimpanzee)	249	1.6.99.3; 7.1.1.2	NDUFV2		COFACTOR: Name=[2Fe-2S] cluster; Xref=ChEBI:CHEBI:49601; Evidence={ECO:0000305};  Note=Binds 1 [2Fe-2S] cluster. {ECO:0000305};	SUBUNIT: Complex I is composed of 45 different subunits. This is a component of the flavoprotein-sulfur (FP) fragment of the enzyme (By similarity). {ECO:0000250}.
