Entry	Entry name	Protein names	Organism	Length	EC number	Gene names	Pathway	Cofactor	Subunit structure [CC]
P22318	HOXU_CUPNH	NAD-reducing hydrogenase HoxS subunit gamma (EC 1.12.1.2)	Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)	234	1.12.1.2	hoxU PHG089		COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000305};  Note=Binds 3 [4Fe-4S] clusters per subunit. {ECO:0000305};	SUBUNIT: Tetramer of an alpha and a gamma subunits (flavin-containing dimer), and a delta and a nickel-containing beta subunits (hydrogenase dimer).
A2BTD8	NDHN_PROMS	NAD(P)H-quinone oxidoreductase subunit N (EC 7.1.1.-) (NAD(P)H dehydrogenase I subunit N) (NDH-1 subunit N) (NDH-N)	Prochlorococcus marinus (strain AS9601)	158	7.1.1.-	ndhN A9601_17661			SUBUNIT: NDH-1 can be composed of about 15 different subunits; different subcomplexes with different compositions have been identified which probably have different functions. {ECO:0000255|HAMAP-Rule:MF_01353}.
Q5N5T8	NU2C_SYNP6	NAD(P)H-quinone oxidoreductase subunit 2 (EC 7.1.1.-) (NAD(P)H dehydrogenase subunit 2) (NADH-plastoquinone oxidoreductase subunit 2) (NDH-1, subunit 2)	Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) (Anacystis nidulans)	521	7.1.1.-	ndhB syc0140_d			SUBUNIT: NDH-1 can be composed of about 15 different subunits; different subcomplexes with different compositions have been identified which probably have different functions. {ECO:0000255|HAMAP-Rule:MF_00445}.
Q31L05	NDHN_SYNE7	NAD(P)H-quinone oxidoreductase subunit N (EC 7.1.1.-) (NAD(P)H dehydrogenase I subunit N) (NDH-1 subunit N) (NDH-N)	Synechococcus elongatus (strain PCC 7942) (Anacystis nidulans R2)	158	7.1.1.-	ndhN Synpcc7942_2234			SUBUNIT: NDH-1 can be composed of about 15 different subunits; different subcomplexes with different compositions have been identified which probably have different functions. {ECO:0000255|HAMAP-Rule:MF_01353}.
Q7U538	NU2C_SYNPX	NAD(P)H-quinone oxidoreductase subunit 2 (EC 7.1.1.-) (NAD(P)H dehydrogenase subunit 2) (NADH-plastoquinone oxidoreductase subunit 2) (NDH-1, subunit 2)	Synechococcus sp. (strain WH8102)	523	7.1.1.-	ndhB SYNW1873			SUBUNIT: NDH-1 can be composed of about 15 different subunits; different subcomplexes with different compositions have been identified which probably have different functions. {ECO:0000255|HAMAP-Rule:MF_00445}.
Q2JVL1	NDHN_SYNJA	NAD(P)H-quinone oxidoreductase subunit N (EC 7.1.1.-) (NAD(P)H dehydrogenase I subunit N) (NDH-1 subunit N) (NDH-N)	Synechococcus sp. (strain JA-3-3Ab) (Cyanobacteria bacterium Yellowstone A-Prime)	147	7.1.1.-	ndhN CYA_1028			SUBUNIT: NDH-1 can be composed of about 15 different subunits; different subcomplexes with different compositions have been identified which probably have different functions. {ECO:0000255|HAMAP-Rule:MF_01353}.
A4QLJ9	NU3C_LOBMA	NAD(P)H-quinone oxidoreductase subunit 3, chloroplastic (EC 7.1.1.-) (NAD(P)H dehydrogenase subunit 3) (NADH-plastoquinone oxidoreductase subunit 3)	Lobularia maritima (Sweet alyssum) (Alyssum maritimum)	120	7.1.1.-	ndhC			SUBUNIT: NDH is composed of at least 16 different subunits, 5 of which are encoded in the nucleus. {ECO:0000255|HAMAP-Rule:MF_01394}.
B0JSV4	NU3C_MICAN	NAD(P)H-quinone oxidoreductase subunit 3 (EC 7.1.1.-) (NAD(P)H dehydrogenase subunit 3) (NADH-plastoquinone oxidoreductase subunit 3) (NDH-1 subunit 3) (NDH-C)	Microcystis aeruginosa (strain NIES-843)	120	7.1.1.-	ndhC MAE_11760			SUBUNIT: NDH-1 can be composed of about 15 different subunits; different subcomplexes with different compositions have been identified which probably have different functions. {ECO:0000255|HAMAP-Rule:MF_01394}.
Q31CN9	NDHK_PROM9	NAD(P)H-quinone oxidoreductase subunit K (EC 7.1.1.-) (NAD(P)H dehydrogenase I subunit K) (NDH-1 subunit K) (NDH-K)	Prochlorococcus marinus (strain MIT 9312)	244	7.1.1.-	ndhK PMT9312_0295		COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000255|HAMAP-Rule:MF_01356};  Note=Binds 1 [4Fe-4S] cluster. {ECO:0000255|HAMAP-Rule:MF_01356};	SUBUNIT: NDH-1 can be composed of about 15 different subunits; different subcomplexes with different compositions have been identified which probably have different functions. {ECO:0000255|HAMAP-Rule:MF_01356}.
Q95695	NU6C_ARATH	NAD(P)H-quinone oxidoreductase subunit 6, chloroplastic (EC 7.1.1.-) (NAD(P)H dehydrogenase subunit 6) (NADH-plastoquinone oxidoreductase subunit 6)	Arabidopsis thaliana (Mouse-ear cress)	176	7.1.1.-	ndhG AtCg01080			SUBUNIT: NDH is composed of at least 16 different subunits, 5 of which are encoded in the nucleus. {ECO:0000250}.
A4QJQ0	NU4C_AETGR	NAD(P)H-quinone oxidoreductase chain 4, chloroplastic (EC 7.1.1.-) (NAD(P)H dehydrogenase, chain 4) (NADH-plastoquinone oxidoreductase chain 4)	Aethionema grandiflorum (Persian stone-cress)	500	7.1.1.-	ndhD			
