Entry	Entry name	Protein names	Organism	Length	EC number	Gene names	Pathway	Cofactor	Subunit structure [CC]
Q99643	C560_HUMAN	Succinate dehydrogenase cytochrome b560 subunit, mitochondrial (Integral membrane protein CII-3) (QPs-1) (QPs1) (Succinate dehydrogenase complex subunit C) (Succinate-ubiquinone oxidoreductase cytochrome B large subunit) (CYBL)	Homo sapiens (Human)	169		SDHC CYB560 SDH3	PATHWAY: Carbohydrate metabolism; tricarboxylic acid cycle.	COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250};  Note=The heme is bound between the two transmembrane subunits SDHC and SDHD. {ECO:0000250};	SUBUNIT: Component of complex II composed of four subunits: the flavoprotein (FP) SDHA, iron-sulfur protein (IP) SDHB, and a cytochrome b560 composed of SDHC and SDHD.
P80478	C560_PORPU	Succinate dehydrogenase cytochrome b560 subunit (Succinate dehydrogenase, subunit III)	Porphyra purpurea (Red seaweed) (Ulva purpurea)	125		SDH3 SDHC	PATHWAY: Carbohydrate metabolism; tricarboxylic acid cycle.	COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250};  Note=The heme is bound between the two transmembrane subunits. {ECO:0000250};	SUBUNIT: Forms part of complex II containing four subunits: a 70 kDa flavoprotein (FP), a 27 kDa iron-sulfur protein (IP), a cytochrome B and a membrane-anchoring protein.
P48935	C560_CYACA	Succinate dehydrogenase cytochrome b560 subunit (Succinate dehydrogenase, subunit III)	Cyanidium caldarium (Red alga)	132		SDH3 SDHC	PATHWAY: Carbohydrate metabolism; tricarboxylic acid cycle.	COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250};  Note=The heme is bound between the two transmembrane subunits. {ECO:0000250};	SUBUNIT: Forms part of complex II containing four subunits: a 70 kDa flavoprotein (FP), a 27 kDa iron-sulfur protein (IP), a cytochrome B and a membrane-anchoring protein.
Q8T2T5	C560_DICDI	Succinate dehydrogenase cytochrome b560 subunit, mitochondrial	Dictyostelium discoideum (Slime mold)	192		sdhC DDB_G0275115	PATHWAY: Carbohydrate metabolism; tricarboxylic acid cycle.	COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250};  Note=The heme is bound between the two transmembrane subunits. {ECO:0000250};	SUBUNIT: Component of complex II composed of four subunits: the flavoprotein (FP) sdha, iron-sulfur protein (IP) sdhb, and a cytochrome b560 composed of sdhc and sdhd. {ECO:0000250}.
Q9CZB0	C560_MOUSE	Succinate dehydrogenase cytochrome b560 subunit, mitochondrial (Integral membrane protein CII-3) (QPs-1) (QPs1)	Mus musculus (Mouse)	169		Sdhc	PATHWAY: Carbohydrate metabolism; tricarboxylic acid cycle.	COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250};  Note=The heme is bound between the two transmembrane subunits SDHC and SDHD. {ECO:0000250};	SUBUNIT: Component of complex II composed of four subunits: the flavoprotein (FP) SDHA, iron-sulfur protein (IP) SDHB, and a cytochrome b560 composed of SDHC and SDHD. {ECO:0000250}.
P35721	C560_MARPO	Succinate dehydrogenase cytochrome b560 subunit (Succinate dehydrogenase, subunit III)	Marchantia polymorpha (Liverwort) (Marchantia aquatica)	137		SDH3 SDHC YMF24	PATHWAY: Carbohydrate metabolism; tricarboxylic acid cycle.	COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250};  Note=The heme is bound between the two transmembrane subunits. {ECO:0000250};	SUBUNIT: Forms part of complex II containing four subunits: a 70 kDa flavoprotein (FP), a 27 kDa iron-sulfur protein (IP), a cytochrome B and a membrane-anchoring protein.
D0VWV4	C560_PIG	Succinate dehydrogenase cytochrome b560 subunit, mitochondrial (Succinate-ubiquinone oxidoreductase cytochrome B large subunit) (CYBL)	Sus scrofa (Pig)	169		SDHC	PATHWAY: Carbohydrate metabolism; tricarboxylic acid cycle.	COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413;  Note=The heme is bound between the two transmembrane subunits SDHC and SDHD.;	SUBUNIT: Component of complex II composed of four subunits: the flavoprotein (FP) SDHA, iron-sulfur protein (IP) SDHB, and a cytochrome b560 composed of SDHC and SDHD. {ECO:0000269|PubMed:15989954}.
P80481	C560_RECAM	Succinate dehydrogenase cytochrome b560 subunit (Succinate dehydrogenase, subunit III)	Reclinomonas americana	144		SDH3 SDHC	PATHWAY: Carbohydrate metabolism; tricarboxylic acid cycle.	COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250};  Note=The heme is bound between the two transmembrane subunits. {ECO:0000250};	SUBUNIT: Forms part of complex II containing four subunits: a 70 kDa flavoprotein (FP), a 27 kDa iron-sulfur protein (IP), a cytochrome B and a membrane-anchoring protein.
P70097	C560_CRIGR	Succinate dehydrogenase cytochrome b560 subunit, mitochondrial (Integral membrane protein CII-3) (QPs-1) (QPs1)	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	169		SDHC	PATHWAY: Carbohydrate metabolism; tricarboxylic acid cycle.	COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250};  Note=The heme is bound between the two transmembrane subunits SDHC and SDHD. {ECO:0000250};	SUBUNIT: Component of complex II composed of four subunits: the flavoprotein (FP) SDHA, iron-sulfur protein (IP) SDHB, and a cytochrome b560 composed of SDHC and SDHD.
P48934	C560_CHOCR	Succinate dehydrogenase cytochrome b560 subunit (Succinate dehydrogenase, subunit III)	Chondrus crispus (Carrageen Irish moss) (Polymorpha crispa)	127		SDH3 SDHC	PATHWAY: Carbohydrate metabolism; tricarboxylic acid cycle.	COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250};  Note=The heme is bound between the two transmembrane subunits. {ECO:0000250};	SUBUNIT: Forms part of complex II containing four subunits: a 70 kDa flavoprotein (FP), a 27 kDa iron-sulfur protein (IP), a cytochrome B and a membrane-anchoring protein.
