Entry	Entry name	Protein names	Organism	Length	EC number	Gene names	Pathway	Cofactor	Subunit structure [CC]
Q39172	AER_ARATH	NADPH-dependent oxidoreductase 2-alkenal reductase (AtAER) (EC 1.3.1.-) (EC 1.3.1.74) (NADP-dependent alkenal double bond reductase P1) (DBR1) (NADPH-azodicarbonyl/quinone reductase) (NADPH:2-alkenal/one alpha,beta-hydrogenase) (ALH) (P1-zeta-crystallin protein) (P1-ZCr)	Arabidopsis thaliana (Mouse-ear cress)	345	1.3.1.-; 1.3.1.74	AER P1 At5g16970 F2K13_120			SUBUNIT: Homodimer. {ECO:0000269|PubMed:10848984, ECO:0000269|PubMed:17028190}.
P72314	AHPC_RHORU	Alkyl hydroperoxide reductase C (EC 1.11.1.15) (Peroxiredoxin) (Thioredoxin peroxidase) (Fragment)	Rhodospirillum rubrum	68	1.11.1.15	ahpC			SUBUNIT: Homodimer; disulfide-linked, upon oxidation. 5 homodimers assemble to form a ring-like decamer. {ECO:0000250|UniProtKB:P0A251}.
Q8PUN1	COOS2_METMA	Carbon monoxide dehydrogenase 2 (CODH 2) (EC 1.2.7.4)	Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)	634	1.2.7.4	cooS2 MM_2301		COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000250|UniProtKB:Q9F8A8};  Note=Binds 3 [4Fe-4S] clusters per homodimer. {ECO:0000250|UniProtKB:Q9F8A8}; COFACTOR: Name=[Ni-Fe-S] cluster; Xref=ChEBI:CHEBI:60400; Evidence={ECO:0000250|UniProtKB:Q9F8A8};  Note=Binds 2 [Ni-4Fe-5S] clusters per homodimer. {ECO:0000250|UniProtKB:Q9F8A8};	SUBUNIT: Homodimer. {ECO:0000250|UniProtKB:Q9F8A8}.
Q8GI16	CARAC_PSERE	Ferredoxin CarAc (Carbazole 1,9a-dioxygenase, ferredoxin component) (CARDO)	Pseudomonas resinovorans	107		carAc		COFACTOR: Name=[2Fe-2S] cluster; Xref=ChEBI:CHEBI:49601; Evidence={ECO:0000255|PROSITE-ProRule:PRU00628, ECO:0000269|PubMed:12450807, ECO:0000269|PubMed:17161368};  Note=Binds 1 [2Fe-2S] cluster per subunit. {ECO:0000255|PROSITE-ProRule:PRU00628, ECO:0000269|PubMed:12450807, ECO:0000269|PubMed:17161368};	SUBUNIT: Monomer. Carbazole 1,9a-dioxygenase complex consists of a terminal oxygenase component CarAa, a ferredoxin reductase component CarAd and a ferredoxin component CarAc. {ECO:0000269|PubMed:12450807, ECO:0000269|PubMed:15645447, ECO:0000269|PubMed:17161368}.
P26475	ASRB_SALTY	Anaerobic sulfite reductase subunit B	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	272		asrB STM2549	PATHWAY: Sulfur metabolism; sulfite reduction.	COFACTOR: Name=[2Fe-2S] cluster; Xref=ChEBI:CHEBI:49601; Evidence={ECO:0000250};  Note=Binds 1 [2Fe-2S] cluster per subunit. {ECO:0000250}; COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000250};  Note=Binds 1 FAD per subunit. {ECO:0000250};	SUBUNIT: The anaerobic sulfite reductase seems to consist of three subunits.
Q0TMV4	BUK_CLOP1	Butyrate kinase (BK) (EC 2.7.2.7)	Clostridium perfringens (strain ATCC 13124 / DSM 756 / JCM 1290 / NCIMB 6125 / NCTC 8237 / Type A)	356	2.7.2.7	buk bukA CPF_2656	PATHWAY: Lipid metabolism; butanoate metabolism.		
A4FV58	CIAO3_BOVIN	Cytosolic iron-sulfur assembly component 3 (Cytosolic Fe-S cluster assembly factor NARFL) (Iron-only hydrogenase-like protein 1) (IOP1) (Nuclear prelamin A recognition factor-like protein)	Bos taurus (Bovine)	476		CIAO3 NARFL			SUBUNIT: External component of the CIA complex. In the CIA complex, interacts directly with CIAO1 and MMS19. {ECO:0000250|UniProtKB:Q9H6Q4}.
O28429	COOS_ARCFU	Carbon monoxide dehydrogenase (CODH) (EC 1.2.7.4)	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	622	1.2.7.4	cooS AF_1849		COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000250|UniProtKB:Q9F8A8};  Note=Binds 3 [4Fe-4S] clusters per homodimer. {ECO:0000250|UniProtKB:Q9F8A8}; COFACTOR: Name=[Ni-Fe-S] cluster; Xref=ChEBI:CHEBI:60400; Evidence={ECO:0000250|UniProtKB:Q9F8A8};  Note=Binds 2 [Ni-4Fe-5S] clusters per homodimer. {ECO:0000250|UniProtKB:Q9F8A8};	SUBUNIT: Homodimer. {ECO:0000250|UniProtKB:Q9F8A8}.
P21149	FER_TRIVA	Ferredoxin	Trichomonas vaginalis	100				COFACTOR: Name=[2Fe-2S] cluster; Xref=ChEBI:CHEBI:49601;  Note=Binds 1 [2Fe-2S] cluster.;	
Q7TMW6	CIAO3_MOUSE	Cytosolic iron-sulfur assembly component 3 (Cytosolic Fe-S cluster assembly factor NARFL) (Iron-only hydrogenase-like protein 1) (IOP1) (Nuclear prelamin A recognition factor-like protein)	Mus musculus (Mouse)	476		Ciao3 Narfl			SUBUNIT: External component of the CIA complex. In the CIA complex, interacts directly with CIAO1 and MMS19. {ECO:0000250|UniProtKB:Q9H6Q4}.
