Protein ID	Transcribed	Expression [TPM]	JGI EC	Bidir EC	Bidir Subunit	Uniprot hit
924582	Y	42.349340000000005		2.7.12.2		Q99078
1047874	Y	2.228125	3.1.3.43	3.1.3.16		O14189
1418268	Y	839.9426200793732		5.4.2.12	SUBUNIT: Monomer. {ECO:0000255|HAMAP-Rule:MF_01038}.	Q8A287
945848	Y	2.2751663333333334			SUBUNIT: Part of the Rad21 paralog protein complexes BCDX2 and CX3; the complexes have a ring-like structure arranged into a flat disc around a central channel. The BCDX2 complex consits of RAD51B, RAD51C, RAD51D and XRCC2; the CX3 complex consists of RAD51C and XRCC3. The BCDX2 subcomplex RAD51B:RAD51C interacts with RAD51. Interacts with SWSAP1; involved in homologous recombination repair. Interacts directly with PALB2 which may serve as a scaffold for a HR complex containing PALB2, BRCA2, RAD51C, RAD51 and XRCC3 (By similarity). {ECO:0000250}.	Q8R2J9
962706	Y	0.35738546666666665			SUBUNIT: Interacts with the cytosolic iron-sulfur protein assembly (CIA) complex components CIAO2B and MMS19; the interactions facilitate the transfer of Fe-S clusters to KIF4A to ensure proper localization of KIF4A to mitotic machinery components (PubMed:29848660). Interacts (via C-terminus) with unphosphorylated PRC1 (via N-terminus); the interaction is required for the progression of mitosis (PubMed:15297875, PubMed:15625105, PubMed:29848660). {ECO:0000269|PubMed:15297875, ECO:0000269|PubMed:15625105, ECO:0000269|PubMed:29848660}.	O95239
1642447	Y	1.513408			SUBUNIT: Component of the Mediator complex. {ECO:0000250}.	Q2UHU3
1426373	Y	256.3119073333333			SUBUNIT: The nucleosome is a histone octamer containing two molecules each of H2A, H2B, H3 and H4 assembled in one H3-H4 heterotetramer and two H2A-H2B heterodimers. The octamer wraps approximately 147 bp of DNA.	Q3ZBX9
1421468	Y	1.1901213333333331	2.7.7.7	2.7.7.7		Q6JDV7
1305814	Y	1.5466866666666668	3.2.1.51	3.2.1.51		Q8L7W8
1743837	Y	13.7886	3.4.24.56	3.4.24.56	SUBUNIT: Homodimer. Can also form homotetramers. {ECO:0000250|UniProtKB:P35559}.	Q24K02
1693085	Y	11.916833333333335				P87142
1042505	Y	61.63761333567506			SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_01152}.	B6IVA5
1727594	Y	45.203533333333326	2.3.1.9	2.3.1.9		Q9UQW6
964723	Y	11.341880000000002			SUBUNIT: The Rab3 GTPase-activating complex is a heterodimer composed of RAB3GAP and RAB3-GAP150. The Rab3 GTPase-activating complex interacts with DMXL2. Interacts with LMAN1. {ECO:0000250|UniProtKB:P69735, ECO:0000250|UniProtKB:Q15042}.	Q80UJ7
919203	Y	3.1689733333333336			SUBUNIT: Component of the CFIA complex, which is composed of RNA14, RNA15, PCF11 and CLP1. Interacts with RNA14, RNA15 and RTT103. Interacts directly with the phosphorylated CTD domain of RPB1/RNA polymerase II. {ECO:0000269|PubMed:11149954, ECO:0000269|PubMed:12727883, ECO:0000269|PubMed:15565157, ECO:0000269|PubMed:9032237}.	P39081
1315079	N				SUBUNIT: Interacts with sid4. When hyperphosphorylated, interacts with byr4. Also interacts with spg1, sid2, cdc13 and cdc16. {ECO:0000269|PubMed:11676915, ECO:0000269|PubMed:12546793, ECO:0000269|PubMed:15062098}.	O74473
