proteinId	description	modelnotes	defline
1176	CBM18-CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
3638	GH43_16-CBM6-CBM1		Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 6  / Carbohydrate-Binding Module Family 1 protein
8807	PL1		Polysaccharide Lyase Family 1 protein
14148	GH10-CBM1		Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 1 protein
14256	GH10-CBM1		Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 1 protein
15347	CE8-CBM1		Carbohydrate Esterase Family 8  / Carbohydrate-Binding Module Family 1 protein
22798	GH3		Glycoside Hydrolase Family 3 protein
24345	GH16_21		Glycoside Hydrolase Family 16 protein
24645	CBM13-DOC2-DOC2-CE1		Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
24949	GH5_4-DOC2-DOC2		Glycoside Hydrolase Family 5  / Non-Catalytic Module Family DOC2
25495	GH43_35		Glycoside Hydrolase Family 43 protein
25511	GH43	fragment N-term / C-term;	Glycoside Hydrolase Family 43 protein
26502	CBM18-CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
30025	CE4		Carbohydrate Esterase Family 4 protein
30518	CBM1		Carbohydrate-Binding Module Family 1 protein
32143	GH5_7		Glycoside Hydrolase Family 5 protein
39329	DOC2-CE1		Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
42509	GH43_4		Glycoside Hydrolase Family 43 protein
50107	GT34	fragment N-term / C-term;	Glycosyltransferase Family 34 protein
50261	GH11		Glycoside Hydrolase Family 11 protein
52187	CBM1-PL1		Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 1 protein
52218	CBM1-CE12		Carbohydrate-Binding Module Family 1  / Carbohydrate Esterase Family 12 protein
53776	CBM18		Carbohydrate-Binding Module Family 18 protein
53847	GH1		Glycoside Hydrolase Family 1 protein
53857	GH1		Glycoside Hydrolase Family 1 protein
62464	CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
62479	CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
