Entry	Entry name	Protein names	Organism	Length	EC number	Gene names	Pathway	Cofactor	Subunit structure [CC]
Q96253	ATP5E_ARATH	ATP synthase subunit epsilon, mitochondrial (ATPase subunit epsilon)	Arabidopsis thaliana (Mouse-ear cress)	70		At1g51650 F19C24.25			SUBUNIT: F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.
Q06450	ATP5E_IPOBA	ATP synthase subunit epsilon, mitochondrial (ATPase subunit epsilon)	Ipomoea batatas (Sweet potato) (Convolvulus batatas)	70					SUBUNIT: F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.
Q41898	ATP5E_MAIZE	ATP synthase subunit epsilon, mitochondrial (ATPase subunit epsilon)	Zea mays (Maize)	70					SUBUNIT: F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.
A0A1L1QK34	ATP5E_PICAN	ATP synthase subunit epsilon, mitochondrial (ATPase subunit epsilon)	Pichia angusta (Yeast) (Hansenula polymorpha)	63		ATP15			SUBUNIT: F-type ATP synthases have 2 components, the catalytic core F(1) and the membrane-embedded component F(0), linked together by a central stalk and a peripheral stalk (PubMed:27791192). The central stalk, also called rotor shaft, is often seen as part of F(1) (PubMed:27791192). The peripheral stalk is seen as part of F(0). F(0) contains the membrane channel next to the rotor (PubMed:27791192). F-type ATP synthases form dimers but each monomer functions independently in ATP generation (By similarity). The dimer consists of 18 different polypeptides: ATP1 (subunit alpha, part of F(1), 3 molecules per monomer), ATP2 (subunit beta, part of F(1), 3 molecules per monomer), ATP3 (subunit gamma, part of the central stalk), ATP4 (subunit b, part of the peripheral stalk), ATP5/OSCP (subunit 5/OSCP, part of the peripheral stalk), ATP6 (subunit a, part of the peripheral stalk), ATP7 (subunit d, part of the peripheral stalk), ATP8 (subunit 8, part of the peripheral stalk), OLI1 (subunit c, part of the rotor, 10 molecules per monomer), ATP14 (subunit h, part of the peripheral stalk), ATP15 (subunit epsilon, part of the central stalk), ATP16 (subunit delta, part of the central stalk), ATP17 (subunit f, part of the peripheral stalk), ATP18 (subunit i/j, part of the peripheral stalk) (PubMed:27791192, PubMed:25759169). Dimer-specific subunits are ATP19 (subunit k, at interface between monomers), ATP20 (subunit g, at interface between monomers), TIM11 (subunit e, at interface between monomers) (By similarity). Also contains subunit L (PubMed:25759169). {ECO:0000250|UniProtKB:C0HLB1, ECO:0000269|PubMed:25759169, ECO:0000269|PubMed:27791192}.
P34539	ATP5E_CAEEL	Putative ATP synthase subunit epsilon, mitochondrial (ATPase subunit epsilon)	Caenorhabditis elegans	54		R05D3.6; ZC262.5			SUBUNIT: F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) seems to have nine subunits: a, b, c, d, e, f, g, F6 and 8 (or A6L) (By similarity). {ECO:0000250}.
P87316	ATP5E_SCHPO	Putative ATP synthase subunit epsilon, mitochondrial (ATPase subunit epsilon)	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	67		atp15 SPBC31F10.15c			SUBUNIT: F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) seems to have nine subunits: a, b, c, d, e, f, g, F6 and 8 (or A6L) (By similarity). {ECO:0000250}.
P05632	ATP5E_BOVIN	ATP synthase subunit epsilon, mitochondrial (ATPase subunit epsilon) (ATP synthase F1 subunit epsilon)	Bos taurus (Bovine)	51		ATP5F1E ATP5E			SUBUNIT: F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) seems to have nine subunits: a, b, c, d, e, f, g, F6 and 8 (or A6L). Component of an ATP synthase complex composed of ATP5PB, ATP5MC1, ATP5F1E, ATP5PD, ATP5ME, ATP5PF, ATP5MF, MT-ATP6, MT-ATP8, ATP5F1A, ATP5F1B, ATP5F1D, ATP5F1C, ATP5PO, ATP5MG, ATP5MD and ATP5MPL. {ECO:0000269|PubMed:17570365, ECO:0000269|PubMed:17895376, ECO:0000269|PubMed:25851905}.
P56381	ATP5E_HUMAN	ATP synthase subunit epsilon, mitochondrial (ATPase subunit epsilon) (ATP synthase F1 subunit epsilon)	Homo sapiens (Human)	51		ATP5F1E ATP5E			SUBUNIT: F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) seems to have nine subunits: a, b, c, d, e, f, g, F6 and 8 (or A6L). Component of an ATP synthase complex composed of ATP5PB, ATP5MC1, ATP5F1E, ATP5PD, ATP5ME, ATP5PF, ATP5MF, MT-ATP6, MT-ATP8, ATP5F1A, ATP5F1B, ATP5F1D, ATP5F1C, ATP5PO, ATP5MG, ATP5MD and ATP5MPL (By similarity). {ECO:0000250}.
P56382	ATP5E_MOUSE	ATP synthase subunit epsilon, mitochondrial (ATPase subunit epsilon) (ATP synthase F1 subunit epsilon)	Mus musculus (Mouse)	52		Atp5f1e Atp5e			SUBUNIT: F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) seems to have nine subunits: a, b, c, d, e, f, g, F6 and 8 (or A6L). Component of an ATP synthase complex composed of ATP5PB, ATP5MC1, ATP5F1E, ATP5PD, ATP5ME, ATP5PF, ATP5MF, MT-ATP6, MT-ATP8, ATP5F1A, ATP5F1B, ATP5F1D, ATP5F1C, ATP5PO, ATP5MG, ATP5MD and ATP5MPL (By similarity). {ECO:0000250}.
P29418	ATP5E_RAT	ATP synthase subunit epsilon, mitochondrial (ATPase subunit epsilon) (ATP synthase F1 subunit epsilon)	Rattus norvegicus (Rat)	51		Atp5f1e Atp5e			SUBUNIT: F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) seems to have nine subunits: a, b, c, d, e, f, g, F6 and 8 (or A6L). Component of an ATP synthase complex composed of ATP5PB, ATP5MC1, ATP5F1E, ATP5PD, ATP5ME, ATP5PF, ATP5MF, MT-ATP6, MT-ATP8, ATP5F1A, ATP5F1B, ATP5F1D, ATP5F1C, ATP5PO, ATP5MG, ATP5MD and ATP5MPL. {ECO:0000269|PubMed:17575325}.
