Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
1000032	PL1(203-428)+CBM13(573-715)+CBM13(727-866)	PL1	PL1	N	3
1000478	GH10(26-323)	GH10	CBM1+GH10	N	3
1000637	GH45(127-326)	GH45+CBM1	N	Y(1-19)	2
1001424	CE8(31-305)	N	N	N	1
1001578	GH47(39-471)	GH47	GH47	N	3
1002192	GH114(31-226)	GH114	N	Y(1-22)	2
1002352	GH114(30-225)	GH114	N	N	2
1002633	GH26(125-265)	N	GH26	Y(1-22)	2
1003216	CE16(71-304)	N	N	N	1
1003231	GH5_4(28-302)+GH5_4(418-692)+GH5_4(808-1082)	GH5	GH5_4	N	3
1003546	GH10(39-350)	N	GH10	N	2
1003974	GH45(253-452)	GH45+CBM1	N	Y(1-38)	2
1004662	GT2_Chitin_synth_2(1364-1838)	N	N	N	1
1005628	GT58(28-380)	GT58	GT58	N	3
1006221	GH43_4(2-234)	N	N	N	1
1006448	GH3(63-271)	GH3	GH3	Y(1-27)	3
1006459	CE4(30-158)	CE4	N	Y(1-25)	2
1006470	GH9(1-370)	N	N	N	1
1006492	GH16_3(179-443)	CBM4+CBM54+CBM6	N	Y(1-19)	2
1006591	GH16_21(31-228)	N	GH16_21	Y(1-23)	2
1006596	CBM87(39-254)+CE18(255-618)	N	N	Y(1-23)	1
1006683	GH115(2-688)	GH115	GH115	N	3
1006913	GH10(26-323)	GH10+CBM1+CBM22+CBM9	CBM1+GH10	N	3
1007045	CE1(205-426)	N	N	N	1
1007483	GH16_3(190-454)	CBM4+CBM54+CBM6	N	Y(1-19)	2
1007747	GH114(30-229)	N	N	N	1
1008382	PL1_7(173-354)+PL1_7(574-755)	PL1	N	N	2
1008489	CBM87(42-259)+CE18(260-614)	N	N	N	1
1008534	GH1(65-642)	GH1	GH1	Y(1-30)	3
1008819	CE4(259-386)	CE4+CBM18	N	Y(1-19)	2
1009300	CE6(89-198)+CBM13(312-457)	CE6	CE6	Y(1-24)	3
1009640	CE4(133-262)	N	N	Y(1-23)	1
1009672	GH43_29(116-401)+GH43_29(448-731)+GH43_29(778-1063)+GH43_29(1110-1395)	GH43+CBM6	GH43_29	Y(1-21)	3
101009	CE1(357-590)	N	CE1	Y(1-19)	2
101020	CE1(357-591)	N	CE1	Y(1-26)	2
1010410	GH20(128-447)	GH20	GH20	N	3
1010833	CE4(89-220)	N	N	Y(1-23)	1
1011309	GH43_16(44-347)	GH43+CBM13+CBM22+CBM36+CBM6	CBM13+CBM2+CBM6+GH43_16	Y(1-24)	3
1011902	CE4(137-266)	CE4+CBM18	N	Y(1-21)	2
1012277	CE4(34-161)	CE4	N	Y(1-24)	2
1012937	GH3(63-271)	GH3	GH3	Y(1-27)	3
1012953	GH11(48-228)	GH11	GH11	Y(1-27)	3
1013244	CE4(29-160)	N	N	N	1
1013609	GH11(47-225)+GH11(364-542)+GH11(631-809)+GH11(904-1082)+GH11(1167-1345)+CE3(1372-1587)	CE3+GH11	GH11	Y(1-20)	3
1014009	GT39(58-288)	GT39	GT39	N	3
1014354	CE1(249-477)	N	CE1	Y(1-33)	2
1014364	CE1(144-270)	N	N	Y(1-21)	1
1014585	GH45(226-425)	GH45+CBM1	N	Y(1-26)	2
1014659	GT20(2-464)	GT20+CBM20	GT20	N	3
1015189	PL3_2(37-239)	N	N	Y(1-19)	1
1015229	GH114(38-228)	N	N	N	1
1015825	CE4(28-152)	CE4	N	N	2
1016327	GH10(29-324)	GH10	CBM1+GH10	Y(1-22)	3
1016901	GH6(144-446)	GH6+CBM1+CBM3	GH6	Y(1-20)	3
1017468	CE16(46-299)	N	N	N	1
1018204	CE18(239-601)	N	N	N	1
1018245	CE6(90-199)	CE6+CBM60	CE6	Y(1-21)	3
1021065	CE6(89-198)	CE6+CBM60	CE6	Y(1-24)	3
1022204	GH10(24-327)+CBM13(335-465)	GH10	CBM1+GH10	N	3
1022217	CBM29(176-318)+CBM29(337-474)	N	CBM29	Y(1-26)	2
1022252	GH5_5(22-306)+GH5_5(452-736)	N	CBM10+GH5_5	Y(1-31)	2
1022355	GH6(111-415)	GH6+CBM1+CBM3	GH6	Y(1-21)	3
1022365	GH6(115-419)	GH6+CBM1+CBM3	GH6	Y(1-21)	3
1022639	GH9(23-452)+GH43_19(699-928)	GH9	GH9	N	3
1022653	GH43_37(104-335)+CBM61(395-533)	CBM35+CBM61	CBM61+GH43_37	N	3
1022776	GH6(151-453)	GH6+CBM1+CBM3	GH6	Y(1-20)	3
1023344	PL1_6(195-419)	N	PL1_6	N	2
1024000	GH5_4(53-334)	GH5	GH5_4	N	3
1024730	GH9(26-457)	GH9+CBM2+CBM49	GH9	Y(1-23)	3
1024737	GH9(26-456)	GH9+CBM49	GH9	N	3
1024938	GH47(16-446)	GH47	GH47	N	3
1025421	GT2_Chitin_synth_2(408-920)	GT2	GT2	N	3
1025488	PL3_2(133-334)	PL3	N	Y(1-26)	2
1025667	CE4(26-151)	CE4+CBM18	N	Y(1-25)	2
1025940	GH10(25-331)	GH10+CBM22	N	Y(1-19)	2
1026025	CE4(36-105)	N	N	Y(1-24)	1
1026028	GH39(127-267)+CBM13(461-606)	GH39	CBM13+GH39	Y(1-23)	3
1026046	GH11(48-230)+GH11(296-477)	GH11	GH11	Y(1-22)	3
