Entry	Entry name	Protein names	Organism	Length	EC number	Gene names	Pathway	Cofactor	Subunit structure [CC]
Q5BK63	NDUA9_RAT	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial (Complex I-39kD) (CI-39kD) (NADH-ubiquinone oxidoreductase 39 kDa subunit) (Sperm flagella protein 3)	Rattus norvegicus (Rat)	377		Ndufa9		COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000305};  Note=Binds 1 FAD per subunit. {ECO:0000305};	SUBUNIT: Complex I is composed of 45 different subunits. This a component of the hydrophobic protein fraction (By similarity). Interacts with BLOC1S1 (By similarity). Interacts with SLC2A4 (PubMed:16396496). Interacts with CLOCK (By similarity). {ECO:0000250|UniProtKB:Q16795, ECO:0000269|PubMed:16396496}.
Q0MQC0	NDUAB_PANTR	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11 (Complex I-B14.7) (CI-B14.7) (NADH-ubiquinone oxidoreductase subunit B14.7)	Pan troglodytes (Chimpanzee)	141		NDUFA11			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000250|UniProtKB:Q86Y39}.
Q4R6H1	NDUAD_MACFA	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 (Complex I-B16.6) (CI-B16.6) (NADH-ubiquinone oxidoreductase B16.6 subunit)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	163		NDUFA13 QtsA-18051			SUBUNIT: Complex I is composed of 45 different subunits. Interacts with CARD15, but not with CARD4. Interacts with STAT3, but not with STAT1, STAT2 and STAT5A. Interacts with OLFM4. {ECO:0000250|UniProtKB:Q9P0J0}.
Q9CPP6	NDUA5_MOUSE	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 (Complex I subunit B13) (Complex I-13kD-B) (CI-13kD-B) (NADH-ubiquinone oxidoreductase 13 kDa-B subunit)	Mus musculus (Mouse)	116		Ndufa5			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000250|UniProtKB:Q16718}.
P56556	NDUA6_HUMAN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 (Complex I-B14) (CI-B14) (LYR motif-containing protein 6) (NADH-ubiquinone oxidoreductase B14 subunit)	Homo sapiens (Human)	128		NDUFA6 LYRM6 NADHB14			SUBUNIT: Mammalian complex I is composed of 45 different subunits. {ECO:0000269|PubMed:12611891, ECO:0000269|PubMed:27626371}.
Q9Z1P6	NDUA7_MOUSE	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 (Complex I-B14.5a) (CI-B14.5a) (NADH-ubiquinone oxidoreductase subunit B14.5a)	Mus musculus (Mouse)	113		Ndufa7			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000250|UniProtKB:O95182}.
Q0MQB0	NDUA8_GORGO	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 (Complex I-19kD) (CI-19kD) (NADH-ubiquinone oxidoreductase 19 kDa subunit)	Gorilla gorilla gorilla (Western lowland gorilla)	172		NDUFA8			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000250|UniProtKB:P51970}.
Q63362	NDUA5_RAT	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 (Complex I subunit B13) (Complex I-13kD-B) (CI-13kD-B) (NADH-ubiquinone oxidoreductase 13 kDa-B subunit)	Rattus norvegicus (Rat)	116		Ndufa5			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000250|UniProtKB:Q16718}.
O43678	NDUA2_HUMAN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 (Complex I-B8) (CI-B8) (NADH-ubiquinone oxidoreductase B8 subunit)	Homo sapiens (Human)	99		NDUFA2			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000269|PubMed:12611891, ECO:0000269|PubMed:27626371}.
Q559Z4	NDUA5_DICDI	Probable NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5	Dictyostelium discoideum (Slime mold)	117		ndufa5 DDB_G0272394			SUBUNIT: Complex I is composed of about 45 different subunits. {ECO:0000250}.
P0CB79	NDUA2_PONAB	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 (Complex I-B8) (CI-B8) (NADH-ubiquinone oxidoreductase B8 subunit)	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	103		NDUFA2			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000250|UniProtKB:O43678}.
Q8N183	NDUF2_HUMAN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2 (B17.2-like) (B17.2L) (Mimitin) (Myc-induced mitochondrial protein) (MMTN) (NDUFA12-like protein)	Homo sapiens (Human)	169		NDUFAF2 NDUFA12L			
P0CC00	NDUA5_PONPY	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 (Complex I subunit B13) (Complex I-13kD-B) (CI-13kD-B) (NADH-ubiquinone oxidoreductase 13 kDa-B subunit)	Pongo pygmaeus (Bornean orangutan)	116		NDUFA5			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000250|UniProtKB:Q16718}.
Q54F42	NDUA6_DICDI	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6	Dictyostelium discoideum (Slime mold)	124		ndufa6 DDB_G0291129			
Q0MQA4	NDUA6_GORGO	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 (Complex I-B14) (CI-B14) (NADH-ubiquinone oxidoreductase B14 subunit)	Gorilla gorilla gorilla (Western lowland gorilla)	128		NDUFA6			SUBUNIT: Mammalian complex I is composed of 45 different subunits. {ECO:0000250|UniProtKB:P56556}.
Q80W89	NDUAB_RAT	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11 (Complex I-B14.7) (CI-B14.7) (NADH-ubiquinone oxidoreductase subunit B14.7)	Rattus norvegicus (Rat)	141		Ndufa11			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000250|UniProtKB:Q86Y39}.
Q6PBH5	NDUA4_DANRE	Cytochrome c oxidase subunit NDUFA4	Danio rerio (Zebrafish) (Brachydanio rerio)	82		ndufa4 zgc:73405			SUBUNIT: Component of the cytochrome c oxidase complex (COX, complex IV). {ECO:0000250}.
Q0MQA7	NDUA7_GORGO	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 (Complex I-B14.5a) (CI-B14.5a) (NADH-ubiquinone oxidoreductase subunit B14.5a)	Gorilla gorilla gorilla (Western lowland gorilla)	113		NDUFA7			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000250|UniProtKB:O95182}.
Q05752	NDUA7_BOVIN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 (Complex I-B14.5a) (CI-B14.5a) (NADH-ubiquinone oxidoreductase subunit B14.5a)	Bos taurus (Bovine)	113		NDUFA7 CI-B14-5A			SUBUNIT: Complex I is composed of 45 different subunits. {ECO:0000269|PubMed:10852722, ECO:0000269|PubMed:18721790}.
Q54P46	NDUA8_DICDI	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8	Dictyostelium discoideum (Slime mold)	104		ndufa8 DDB_G0284799			SUBUNIT: Complex I is composed of about 45 different subunits. {ECO:0000250}.
