Entry	Entry name	Status	Protein names	Gene names	Organism	Length
B3EY95	SCACT_ACEAC	reviewed	Succinyl-CoA:acetate CoA-transferase (EC 2.8.3.18) (Succinyl-coenzyme A (CoA):acetate CoA-transferase) (SCACT)		Acetobacter aceti	505
A0A2H1JUU9	A0A2H1JUU9_9MICO	unreviewed	Succinyl-CoA:acetate CoA-transferase (EC 2.8.3.18)	BC102111_02582	Brevibacterium casei CIP 102111	501
A0A2H1HYZ8	A0A2H1HYZ8_9MICO	unreviewed	Succinyl-CoA:acetate CoA-transferase (EC 2.8.3.18)	BSP239C_00176	Brevibacterium sp. 239c	501
A0A0F6TBF5	A0A0F6TBF5_9CORY	unreviewed	Succinate CoA transferase (EC 2.8.3.18)	cat1 NG00_01723 UL81_09605	Corynebacterium camporealensis	498
A0A0U5F138	A0A0U5F138_9PROT	unreviewed	Acetyl-CoA hydrolase (Succinyl-CoA:acetate CoA-transferase) (EC 2.8.3.18)	aarC AD948_09570 ASN_3794 HK16_07260	Acetobacter senegalensis	505
A0A0G3HEM7	A0A0G3HEM7_9CORY	unreviewed	Succinate CoA transferase (EC 2.8.3.18)	cat1 CUTER_09160	Corynebacterium uterequi	499
A0A0G3GYG6	A0A0G3GYG6_9CORY	unreviewed	Succinate CoA transferase (EC 2.8.3.18)	cat1 CEPID_10335	Corynebacterium epidermidicanis	503
A0A0G3H0D5	A0A0G3H0D5_9CORY	unreviewed	Succinate CoA transferase (EC 2.8.3.18)	cat1 CMUST_12890	Corynebacterium mustelae	505
A0A0G3H8D2	A0A0G3H8D2_9CORY	unreviewed	Succinate CoA transferase (EC 2.8.3.18)	cat1 CTEST_11140	Corynebacterium testudinoris	500
A0A0F6R139	A0A0F6R139_9CORY	unreviewed	Succinate CoA transferase (EC 2.8.3.18)	cat1 UL82_02895	Corynebacterium kutscheri	504
A0A0B6EY35	A0A0B6EY35_9CORY	unreviewed	Succinate CoA transferase (EC 2.8.3.18)	cat1 CSING_11110	Corynebacterium singulare	500
A0A0U5FY27	A0A0U5FY27_9PROT	unreviewed	Succinyl-CoA:acetate CoA-transferase (EC 2.8.3.18)	aarC AGA_1545	Acetobacter ghanensis	505
A0A1Y0Y6A0	A0A1Y0Y6A0_ACEPA	unreviewed	Succinyl-CoA:acetate CoA-transferase (EC 2.8.3.18)	aarC S1001342_00164	Acetobacter pasteurianus subsp. pasteurianus	505
A0A1Y0UZL5	A0A1Y0UZL5_9PROT	unreviewed	Succinyl-CoA:acetate CoA-transferase (EC 2.8.3.18)	aarC S101447_00160	Acetobacter ascendens	505
A0A1P8V192	A0A1P8V192_9RHOB	unreviewed	Succinyl-CoA:acetate CoA-transferase (EC 2.8.3.18)	Ga0080574_TMP5138	Pelagibaca abyssi	513
A0A1U7D6B7	A0A1U7D6B7_9RHOB	unreviewed	Succinyl-CoA:acetate CoA-transferase (EC 2.8.3.18)	Ga0080559_TMP2908	Salipiger profundus	504
A0A1A0DE50	A0A1A0DE50_ACEPA	unreviewed	Succinyl-CoA:acetate CoA-transferase (EC 2.8.3.18)	SRCM100623_01485	Acetobacter pasteurianus (Acetobacter turbidans)	505
A0A1A0CTK5	A0A1A0CTK5_ACEPA	unreviewed	Succinyl-CoA:acetate CoA-transferase (EC 2.8.3.18)	SRCM100623_02506	Acetobacter pasteurianus (Acetobacter turbidans)	505
A0A0P0RF26	A0A0P0RF26_9BURK	unreviewed	Propionyl-CoA:succinyl-CoA transferase (EC 2.8.3.18)	K788_0008530	Paraburkholderia caribensis MBA4	519
A0A1A7BX94	A0A1A7BX94_9BURK	unreviewed	Succinyl-CoA:acetate CoA-transferase (EC 2.8.3.18)	ASR47_1001221	Janthinobacterium sp. S3-2	496
A0A0N0VJI6	A0A0N0VJI6_9PSED	unreviewed	Succinate CoA transferase (EC 2.8.3.18)	PF66_03523	Pseudomonas fuscovaginae	497
A0A1U9MJL5	A0A1U9MJL5_9RHIZ	unreviewed	Succinyl-CoA:acetate CoA-transferase (EC 2.8.3.18)	BBC0122_018120	Bartonella apis	496
A0A4V6IMW3	A0A4V6IMW3_METTU	unreviewed	Succinyl-CoA:acetate CoA-transferase (EC 2.8.3.18)	MTUNDRAET4_3175	Methylocella tundrae	511
