Entry	Entry name	Protein names	Organism	Length	EC number	Gene names	Pathway	Cofactor	Subunit structure [CC]
O79547	NU2M_LYCSM	NADH-ubiquinone oxidoreductase chain 2 (EC 7.1.1.2) (NADH dehydrogenase subunit 2)	Lycodon semicarinatus (Ryukyu odd-tooth snake) (Eumesodon semicarinatus)	343	7.1.1.2	MT-ND2 MTND2 NADH2 ND2			
O63797	NU2M_MARFT	NADH-ubiquinone oxidoreductase chain 2 (EC 7.1.1.2) (NADH dehydrogenase subunit 2)	Mareca falcata (Falcated duck) (Anas falcata)	346	7.1.1.2	MT-ND2 MTND2 NADH2 ND2			
O63798	NU2M_MARPN	NADH-ubiquinone oxidoreductase chain 2 (EC 7.1.1.2) (NADH dehydrogenase subunit 2)	Mareca penelope (Eurasian wigeon) (Anas penelope)	346	7.1.1.2	MT-ND2 MTND2 NADH2 ND2			
O21078	NU2M_MYXGL	NADH-ubiquinone oxidoreductase chain 2 (EC 7.1.1.2) (NADH dehydrogenase subunit 2)	Myxine glutinosa (Atlantic hagfish)	348	7.1.1.2	MT-ND2 MTND2 NADH2 ND2			
Q330B4	NU2M_NATST	NADH-ubiquinone oxidoreductase chain 2 (EC 7.1.1.2) (NADH dehydrogenase subunit 2)	Natalus stramineus (Mexican funnel-eared bat)	347	7.1.1.2	MT-ND2 MTND2 NADH2 ND2			
Q330A4	NU2M_NYCAL	NADH-ubiquinone oxidoreductase chain 2 (EC 7.1.1.2) (NADH dehydrogenase subunit 2)	Nyctimene albiventer (Common tube-nosed fruit bat)	347	7.1.1.2	MT-ND2 MTND2 NADH2 ND2			
Q330E5	NU2M_MORBE	NADH-ubiquinone oxidoreductase chain 2 (EC 7.1.1.2) (NADH dehydrogenase subunit 2)	Mormopterus beccarii (Beccari's free-tailed bat) (Beccari's mastiff bat)	347	7.1.1.2	MT-ND2 MTND2 NADH2 ND2			
Q85PS1	NU2M_MUNMN	NADH-ubiquinone oxidoreductase chain 2 (EC 7.1.1.2) (NADH dehydrogenase subunit 2)	Mungos mungo (Banded mongoose)	347	7.1.1.2	MT-ND2 MTND2 NADH2 ND2			
P92691	NU2M_PONAB	NADH-ubiquinone oxidoreductase chain 2 (EC 7.1.1.2) (NADH dehydrogenase subunit 2)	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	347	7.1.1.2	MT-ND2 MTND2 NADH2 ND2			
Q330H0	NU2M_RHYNA	NADH-ubiquinone oxidoreductase chain 2 (EC 7.1.1.2) (NADH dehydrogenase subunit 2)	Rhynchonycteris naso (Proboscis bat) (Vespertilio naso)	347	7.1.1.2	MT-ND2 MTND2 NADH2 ND2			
