G3PT	1711317	None
CERS124	1022304	None
CERS126	1022304	None
CERS224	1022304	None
CERS226	1022304	None
HMGCOAR	1282571	None
CHLPCTD	1433465	None
FRUt2	1044058 or 1058375 or 1010733 or 1298227 or 564092	None
XYLt2	1288838	None
MANt2	1044058 or 1058375 or 1010733 or 1298227 or 564092	None
GLUt2r	1044058	None
GLUK_syn	1280520 or 1723927	Neosp1(428539); Anasp1(205459); Pirfi3(278900); PirE2(45058)
ARAI	1435882 or 1298227 or 1288838 or 1305406 or 1315994 or 997917 or 564092 or 1010733	Neosp1(389810); Neosp1(705775); Neosp1(707593); Neosp1(456374); Neosp1(455570); Anasp1(327825); Anasp1(296144); Anasp1(233233); Pirfi3(398655); Pirfi3(586812); Pirfi3(415026); Pirfi3(364255); PirE2(34666); PirE2(21637); PirE2(20524); Orpsp1(1182993); Orpsp1(1187392); Orpsp1(1192744)
GALT	1618175	Neosp1(709297)
RAFH	1305401 or 1032921	Neosp1(413466); Anasp1(295308); PirE2(15666); Orpsp1(1175963)
FFSD	1305401 or 1032921	Neosp1(413466); Anasp1(295308); PirE2(15666); Orpsp1(1175963)
ACS2	1743265	PirE2(8019)
BTDD_RR	1675079	PirE2(39779); Orpsp1(1191226)
METSR_S1	1659166	Anasp1(328892); Orpsp1(1191427)
CYTOM	1295461 or 998947 or 1669867	Neosp1(464516); Anasp1(295038); Pirfi3(346164); PirE2(4276); Orpsp1(1186161)
MMSAD1	1675079 or 1021847	PirE2(39779); Orpsp1(1191226); Orpsp1(1176736)
LYSDC	1659293 or 954171	Neosp1(663808); Orpsp1(1181677)
ACODA	1729791	Neosp1(678182); Anasp1(292923)
GACMTRc	1650660 or 1728000	Neosp1(383139); Anasp1(223068); Pirfi3(580449)
PTRCAT1	1009546	Anasp1(324269); PirE2(45321)
ALDD20x	1675079 or 1021847	PirE2(39779); Orpsp1(1191226); Orpsp1(1176736)
ALDD20y	1675079 or 1021847 or 1638430	PirE2(39779); Orpsp1(1191226); Orpsp1(1176736)
PPRGL	1705995	None
PRFGCL	1705995	None
NTPP6	1434764 or 1301239	None
NTPP2	1434764 or 1301239	None
3NUCLE1	1699408	None
23CN2P1	1681618	None
3NUCLE4	1653612	None
23CN2P4	1653612	None
DHORD3	1699796	None
3NUCLE2	1653612	None
23CN2P2	1653612	None
PYNP2r	1727718 or 1017338	Anasp1(267785); Pirfi3(405108)
NTPP7	1434764 or 1301239	None
23CN2P3	1681618	None
3NUCLE3	1699408	None
PYNP1	1619412	None
NTPP4	1434764 or 1301239	None
NTPP8	1434764 or 1301239	None
RNDR2	1631806	None
RNDR1	1631806	None
RNDR3	1631806	None
RNDR4	1631806	None
HMPK2	1058664	None
HMPK3	1058664	None
HMPK4	1058664	None
TYRL	966472	None
TMPPP_1	995020	None
PYDXS	1655008 or 1278363	None
HYPOE	243650	None
FADDP	1434764 or 1301239	None
FMNRx	1745205	None
FMNRx2	1745205	None
DHPPDA2	975306	None
PMDPHT	1693187	None
APRAUR	1694524	Neosp1(669594); Anasp1(265217); Pirfi3(402221)
ANNAT	919173	None
NADDP	1434764 or 1301239	None
NNATr	919173	None
DNADDP	1434764 or 1301239	None
NADK1	1722272 or 1005147 or 942385 or 962805	Neosp1(456946); Anasp1(218338); Anasp1(293389); Pirfi3(166608); Pirfi3(371338); PirE2(42744); PirE2(44620); Orpsp1(1190526)
QULNS	492630	None
ASP1DC	1748786	None
DPCOAPP	1434764 or 1301239	None
BTS6	1671426	None
AMAOTr	1678873	None
AOXSr2	1024613	PirE2(64179)
OPMEACPD	1057780	None
OGMEACPD	1057780	None
DHNPA2r	1304486	None
HPPK2	1304486	None
FTHFLi	957199 or 1046184	None
KAS15	1075765 or 1072353 or 1057780	Neosp1(143535); Anasp1(248107); Pirfi3(411080); PirE2(38102); PirE2(43654)
3HAD40	1057780	None
3HAD60	1057780	None
3HAD80	1057780	None
3HAD100	1057780	None
3HAD120	1057780	None
3HAD140	1057780	None
3HAD160	1057780	None
3HAD180	1057780	None
FASC200ACP	1057780	None
DHDDS	1719836 or 1420524	None
DEDOLP1	1719836 or 1420524	None
DEDOLP2	1719836 or 1420524	None
DEDOLR	1738297	None
GLYALDDr	1675079 or 1021847	PirE2(39779); Orpsp1(1191226); Orpsp1(1176736)
G3PAT160	1281920	PirE2(66406)
G3PAT160_1	1281920	PirE2(66406)
CLPNS160	982082	None
G3PAT180	1281920	PirE2(66406)
G3PAT180_1	1281920	PirE2(66406)
CLPNS180	982082	None
G3PAT140	1281920	PirE2(66406)
G3PAT140_c	1281920	PirE2(66406)
CLPNS140	982082	None
ETHAPT_PALM_PALM_c	1037421	None
ETHAPT_STC_STC_c	1037421	None
ETHAPT_MYRS_MYRS_c	1037421	None
LPEAT_PALM_PALM_sn2_c	1677914 or 995482	None
LPEH160_sn1_c	1677914 or 995482	None
LPEAT_STC_STC_sn2_c	1677914 or 995482	None
LPEAT_MYRS_MYRS_sn2_c		None
LPEH140_sn1_c	1677914 or 995482	None
LPCH180_sn1_c	1677914 or 995482	None
LPCAT_STC_STC_sn2_c		None
PLDPC_STC_STC_c	1290734 or 1277339 or 964251	Pirfi3(412934); PirE2(5301); Orpsp1(1180499)
PLDPE_STC_STC_c	1290734 or 1277339 or 964251	Pirfi3(412934); PirE2(5301); Orpsp1(1180499)
LPCH140_sn1_c	1677914 or 995482	None
LPCAT_MYRS_MYRS_sn2_c		None
PLDPC_MYRS_MYRS_c	1290734 or 1277339 or 964251	Pirfi3(412934); PirE2(5301); Orpsp1(1180499)
PLDPE_MYRS_MYRS_c	1290734 or 1277339 or 964251	Pirfi3(412934); PirE2(5301); Orpsp1(1180499)
LPCH160_sn1_c	1677914 or 995482	None
LPCAT_PALM_PALM_sn2_c		None
PLDPC_PALM_PALM_c	1290734 or 1277339 or 964251	Pirfi3(412934); PirE2(5301); Orpsp1(1180499)
PLDPE_PALM_PALM_c	1290734 or 1277339 or 964251	Pirfi3(412934); PirE2(5301); Orpsp1(1180499)
TAGAH_PALM_PALM_PALM_c		None
ACOADAGAT_PALM_PALM_PALM_c		None
DAGAH_PALM_PALM_c		None
ADPATPht	1679771 or 969108 or 1375160 or 1633381	None
PFLh	981064 or 1027775	None
PFOh	623223	None
HYDhfe	1341048 or 1718044	None
CMPL1h	1047445 and 993995	None
CMPL2h	1702000 and 1688149 and 1286787 and 1677752	None
FUMh	985684	None
HYDhbi	923302 and 1083241 and 1341048	None
ATPShydr	1037070 and 1706307 and 1045818 and 1061751	None
SUCCOAh	1276456 and 1636158	None
SUCOAACTh	1731457 or 1316948	None
MEhy	1699045	Neosp1(458540); Anasp1(330901); Pirfi3(402829); PirE2(20452)
MEhx	1307328 or 1699045	None
HYDh2	1341048 or 1718044	None
r_R04019	1647010	None
ARGN	197830	
PYDXNK	238088 or 1747508	
PPBNGS	1036771	
r0480	1648890	
r0085	1309297	
FKYNH	1397557 or 1684856	
r0788	1648890	
r0789	1648890	
PYDXK	1747508 or 238088	
PYDAMK	1747508 or 238088	
